title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Circles,Post Malone,dfw rap,2019,2020‑06‑22,120,76,70,-3,9,55,215,19,4,89,2019,Solo
Look Back at It,A Boogie Wit da Hoodie,melodic rap,2018,2020‑06‑22,96,59,79,-5,15,54,179,41,4,78,2019,Solo
Good as Hell,Lizzo,dance pop,2019,2020‑06‑22,96,92,68,-3,44,54,160,26,9,77,2019,Solo
Going Bad (feat. Drake),Meek Mill,hip hop,2018,2020‑06‑22,86,50,89,-6,25,54,181,26,9,83,2019,Solo
Without Me,Halsey,dance pop,2018,2020‑06‑22,136,49,75,-7,9,53,202,30,7,82,2019,Solo
i'm so tired...,Lauv,dance pop,2020,2020‑06‑22,102,73,60,-7,24,53,163,18,20,81,2019,Solo
All Day And Night,Jax Jones,dance pop,2019,2020‑06‑22,122,78,59,-4,16,52,169,27,9,64,2019,Solo
Doin' Time,Lana Del Rey,art pop,2019,2020‑06‑22,145,56,64,-11,9,52,202,40,4,83,2019,Solo
Old Town Road,Lil Nas X,lgbtq+ hip hop,2019,2020‑06‑22,136,53,91,-6,10,51,113,6,13,80,2019,Solo
ZEZE (feat. Travis Scott & Offset),Kodak Black,florida rap,2018,2020‑06‑22,98,60,86,-6,9,50,229,5,18,82,2019,Solo
Grace,Lewis Capaldi,pop,2019,2020‑06‑22,104,56,72,-6,17,49,186,44,3,72,2019,Solo
Panini,Lil Nas X,lgbtq+ hip hop,2019,2020‑06‑22,154,59,70,-6,12,48,115,34,8,76,2019,Solo
Juicy,Doja Cat,dance pop,2019,2020‑06‑22,170,66,79,-3,7,46,202,9,7,62,2019,Solo
MIDDLE CHILD,J. Cole,conscious hip hop,2019,2020‑06‑22,124,36,84,-12,27,46,214,15,28,85,2019,Solo
Boasty (feat. Idris Elba),Wiley,grime,2019,2020‑06‑22,103,77,89,-5,9,46,177,1,7,68,2019,Solo
Someone You Loved,Lewis Capaldi,pop,2019,2020‑06‑22,110,41,50,-6,11,45,182,75,3,89,2019,Solo
Lover,Taylor Swift,pop,2019,2020‑06‑22,69,54,36,-8,12,45,221,49,9,86,2019,Solo
SICKO MODE,Travis Scott,hip hop,2018,2020‑06‑22,155,73,83,-4,12,45,313,1,22,86,2019,Solo
One Thing Right,Marshmello,brostep,2019,2020‑06‑22,88,63,66,-2,58,44,182,6,5,77,2019,Solo
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,melodic rap,2018,2020‑06‑22,93,66,58,-5,11,43,189,2,30,80,2019,Solo
Vossi Bop,Stormzy,grime,2019,2020‑06‑22,188,65,68,-6,13,43,196,13,34,69,2019,Solo
Clout (feat. Cardi B),Offset,atl hip hop,2019,2020‑06‑22,140,62,92,-7,12,42,206,23,10,73,2019,Solo
"thank u, next",Ariana Grande,dance pop,2019,2020‑06‑22,107,65,72,-6,10,41,207,23,7,85,2019,Solo
Truth Hurts,Lizzo,dance pop,2019,2020‑06‑22,158,62,72,-3,12,41,173,11,11,80,2019,Solo
EARFQUAKE,"Tyler, The Creator",hip hop,2019,2020‑06‑22,80,50,55,-9,80,41,190,23,7,85,2019,Solo
Light On,Maggie Rogers,indie pop,2019,2020‑06‑22,102,57,66,-6,13,40,234,20,5,72,2019,Solo
On A Roll,Ashley O,pop,2019,2020‑06‑22,125,81,74,-6,5,39,154,8,9,62,2019,Solo
Thotiana,Blueface,cali rap,2018,2020‑06‑22,104,38,91,-13,11,39,129,18,27,71,2019,Solo
Wow.,Post Malone,dfw rap,2019,2020‑06‑22,100,54,83,-7,10,39,150,14,21,83,2019,Solo
gone girl,iann dior,melodic rap,2019,2021‑08‑17,95,71,68,-6,7,36,137,16,3,75,2019,Solo
Talk (feat. Disclosure),Khalid,pop,2019,2020‑06‑22,136,40,90,-9,6,35,198,5,13,76,2019,Solo
"break up with your girlfriend, i'm bored",Ariana Grande,dance pop,2019,2020‑06‑22,170,55,73,-5,11,34,190,4,9,81,2019,Solo
Better Now,Post Malone,dfw rap,2018,2020‑06‑22,145,58,68,-6,14,34,231,33,4,84,2019,Solo
7 rings,Ariana Grande,dance pop,2019,2020‑06‑22,140,32,78,-11,9,33,179,59,33,88,2019,Solo
Shallow,Lady Gaga,art pop,2018,2020‑06‑22,96,39,57,-6,23,32,216,37,3,87,2019,Solo
Nights Like This (feat. Ty Dolla $ign),Kehlani,dance pop,2019,2020‑06‑22,146,73,61,-5,15,29,202,37,15,80,2019,Solo
Slide Away,Miley Cyrus,dance pop,2019,2020‑06‑22,148,54,53,-7,25,29,234,17,3,74,2019,Solo
a lot,21 Savage,atl hip hop,2018,2020‑06‑22,146,64,84,-8,34,27,289,4,9,83,2019,Solo
Pop Out (feat. Lil Tjay),Polo G,chicago rap,2019,2020‑06‑22,168,64,77,-7,7,26,167,15,47,83,2019,Solo
Callaita,Bad Bunny,latin,2019,2020‑06‑22,176,62,61,-5,24,24,251,60,31,86,2019,Solo
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2018,2020‑06‑22,114,79,60,-6,39,24,217,1,7,84,2019,Solo
Ransom,Lil Tecca,melodic rap,2019,2020‑06‑22,180,64,75,-6,7,23,131,2,29,83,2019,Solo
Bohemian Rhapsody - Remastered 2011,Queen,classic rock,1975,2020‑06‑22,144,40,39,-10,24,23,354,29,5,77,2019,Band/Group
Money,Cardi B,dance pop,2018,2020‑06‑22,130,59,95,-7,11,22,184,1,29,78,2019,Solo
when the party's over,Billie Eilish,art pop,2019,2020‑06‑22,83,11,37,-14,9,20,196,98,10,85,2019,Solo
bury a friend,Billie Eilish,art pop,2019,2020‑06‑22,120,39,91,-15,11,20,193,74,33,80,2019,Solo
Here With Me,Marshmello,brostep,2019,2020‑06‑22,100,56,79,-4,16,18,156,6,4,77,2019,Solo
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,2019,2020‑06‑22,98,59,80,-7,13,18,200,2,15,75,2019,Solo
Lost in the Fire (feat. The Weeknd),Gesaffelstein,dark clubbing,2019,2021‑10‑28,101,67,66,-12,12,17,202,9,4,89,2019,Solo
MIA (feat. Drake),Bad Bunny,latin,2018,2020‑06‑22,97,54,82,-6,10,16,210,1,6,82,2019,Solo
emotions,iann dior,melodic rap,2019,2021‑08‑17,81,63,63,-6,14,16,131,1,4,77,2019,Solo
Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,2020‑06‑22,150,65,55,-4,10,16,175,46,8,82,2019,Solo
Pure Water (with Migos),Mustard,cali rap,2019,2020‑06‑22,202,56,68,-6,34,14,192,17,13,80,2019,Solo
lovely (with Khalid),Billie Eilish,art pop,2018,2020‑06‑22,115,30,35,-10,10,12,200,93,3,91,2019,Solo
Better,Khalid,pop,2018,2020‑06‑22,98,55,60,-10,10,11,229,8,10,81,2019,Solo
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,2019,2020‑06‑22,101,50,83,-4,12,10,205,10,5,82,2019,Solo
